,,Depth (cm),,,,,,,,,,,
,Tistrella mobilis,48,86,10,40,178,587,29,33,6,11,10,15
,Rickettsiales,17,5,8,11,30,48,18,18,6,8,4,16
,Anaplasmataceae,4,8,13,9,3,9,14,6,7,9,5,11
,Anaplasma,10,19,0,0,9,25,5,5,0,5,1,7
,Anaplasma centrale,0,0,0,0,0,5,0,0,0,0,0,0
,Anaplasma ovis,0,0,0,0,0,5,5,0,0,0,0,0
,"environmental samples <a-proteobacteria,genus Anaplasma>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Anaplasma sp.,0,0,0,0,0,20,0,0,0,0,0,0
,phagocytophilum group,0,0,0,0,0,0,0,0,0,0,0,0
,Anaplasma phagocytophilum,0,6,0,0,25,19,0,0,0,0,6,0
,Ehrlichia,0,7,0,0,12,35,0,11,0,17,18,31
,canis group,0,13,0,0,17,9,0,9,0,21,12,9
,Ehrlichia canis,0,0,0,0,5,47,0,0,0,5,0,13
,Ehrlichia chaffeensis,0,0,0,0,0,53,0,0,0,0,6,6
,Ehrlichia muris,0,0,0,0,6,27,0,0,0,0,0,0
,Ehrlichia ruminantium,0,0,0,0,6,90,0,0,0,58,24,55
,unclassified Ehrlichia,0,0,0,0,0,2,0,0,0,0,0,0
,Ehrlichia sp. HF,0,5,0,0,0,6,0,0,0,5,0,0
,Neorickettsia,7,13,0,0,3,14,0,0,0,2,6,7
,Neorickettsia helminthoeca,0,5,0,0,17,30,0,0,0,0,0,0
,Neorickettsia risticii,0,0,0,0,0,39,0,0,0,8,0,0
,Neorickettsia sennetsu,0,0,0,0,0,0,0,0,0,0,0,5
,Wolbachieae,0,0,0,0,0,0,0,0,0,0,0,0
,Wolbachia,29,29,6,0,68,283,26,28,0,32,35,70
,Wolbachia endosymbiont of Brugia malayi,5,0,0,0,0,14,0,0,0,0,0,6
,Wolbachia endosymbiont of Cimex lectularius,6,0,0,0,0,13,5,0,0,0,14,58
,Wolbachia endosymbiont of Culex quinquefasciatus,0,0,0,0,0,11,0,0,0,0,0,0
,Wolbachia endosymbiont of Folsomia candida,0,10,0,0,5,69,0,6,0,0,0,5
,Wolbachia endosymbiont of Onchocerca ochengi,0,0,0,0,0,5,0,0,0,0,0,0
,Wolbachia endosymbiont of Torotrogla cardueli,0,0,0,0,0,14,0,0,0,0,0,0
,Wolbachia endosymbiont of Torotrogla rubeculi,0,0,0,0,0,0,0,0,0,0,0,13
,Wolbachia pipientis,0,0,0,0,0,12,0,0,0,0,0,0
,Candidatus Midichloriaceae,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Midichloria,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Midichloria mitochondrii,0,6,0,0,0,38,0,0,0,0,0,0
,"environmental samples <a-proteobacteria,order Rickettsiales>",8,23,0,0,12,34,4,3,0,0,0,0
,uncultured Rickettsiales bacterium HF4000_[384]001A02,0,0,0,0,0,7,0,0,0,0,0,0
,uncultured Rickettsiales bacterium HF4000_[384]005D21,0,0,0,0,25,30,0,0,0,0,0,0
,uncultured Rickettsiales bacterium HF4000_[384]005H07,0,0,0,0,0,0,5,0,0,0,0,0
,uncultured Rickettsiales bacterium HF4000_[384]005I08,0,0,0,0,8,49,0,7,0,0,0,0
,uncultured Rickettsiales bacterium HF4000_[384]007I05,0,0,0,0,8,0,0,0,0,0,0,0
,Rickettsiaceae,1,0,0,0,0,3,1,0,0,0,0,0
,Rickettsieae,5,2,1,1,0,9,0,4,0,2,0,4
,Orientia,0,0,0,0,0,1,0,0,0,0,0,0
,Orientia tsutsugamushi,0,16,0,0,15,106,7,0,0,7,11,6
,Rickettsia,63,106,22,16,55,236,93,54,14,14,25,97
,belli group,0,0,0,0,2,3,0,0,0,0,3,3
,Rickettsia bellii,0,11,0,0,14,63,0,11,0,31,0,0
,Rickettsia canadensis,0,5,0,0,0,17,0,0,0,18,10,55
,spotted fever group,122,202,34,17,57,150,91,94,17,47,61,268
,Rickettsia akari,5,0,0,0,0,11,0,0,0,0,0,0
,Rickettsia amblyommatis,0,0,0,0,0,12,0,6,0,0,0,15
,Rickettsia asiatica,5,0,0,0,0,0,0,0,0,0,0,0
,Rickettsia australis,0,0,0,0,0,21,0,0,0,0,0,0
,Rickettsia conorii,0,0,0,0,0,0,0,0,0,0,22,51
,Rickettsia felis,10,17,0,0,0,13,11,8,0,0,0,0
,Rickettsia heilongjiangensis,0,0,0,0,0,16,0,0,0,0,0,12
,Rickettsia japonica,11,33,5,0,0,24,18,7,0,0,7,24
,Rickettsia monacensis,6,0,0,0,0,12,0,0,0,0,12,12
,Rickettsia raoultii,0,0,0,0,0,22,0,0,0,0,11,10
,Rickettsia rhipicephali,0,0,0,0,0,14,0,0,0,0,0,0
,Rickettsia rickettsii,6,12,0,0,0,12,0,6,0,0,0,0
,typhus group,0,1,0,0,6,12,0,0,0,6,8,11
,Rickettsia prowazekii,0,5,0,0,16,47,0,0,0,34,0,5
,Rickettsia typhi,0,5,0,0,0,44,0,0,0,0,9,49
,unclassified Rickettsia,0,0,0,0,0,10,0,0,0,0,0,2
,Rickettsia endosymbiont of Bemisia tabaci,0,11,0,0,0,29,0,0,0,0,8,23
,Rickettsia endosymbiont of Meloidae species,0,0,0,0,0,8,0,0,0,0,0,0
,Rickettsiales genera incertae sedis,4,7,0,0,10,8,4,5,0,10,0,4
,unclassified Rickettsiales,0,0,0,0,0,0,0,0,0,0,0,0
,unclassified Rickettsiales (miscellaneous),0,0,0,0,0,0,0,0,0,0,0,0
,Rickettsiales bacterium Ac37b,0,8,0,0,28,144,0,5,0,20,7,13
,Sphingomonadales,46,112,27,27,267,738,79,47,10,29,23,34
,Erythrobacteraceae,14,17,14,10,34,125,19,13,5,12,11,13
,Altererythrobacter,12,11,12,11,4,8,20,17,5,13,13,18
,Altererythrobacter atlanticus,12,15,0,7,48,140,7,0,0,10,6,0
,Altererythrobacter dongtanensis,14,23,0,6,30,70,0,11,0,0,0,0
,Altererythrobacter epoxidivorans,0,18,0,0,32,147,0,5,0,17,0,24
,Altererythrobacter ishigakiensis,8,17,0,0,47,114,6,0,0,18,0,10
,Altererythrobacter marensis,6,12,0,0,41,86,18,7,0,0,5,6
,Altererythrobacter namhicola,19,31,0,7,38,160,10,15,0,0,0,5
,Croceicoccus,0,0,0,0,0,0,0,0,0,0,0,0
,Croceicoccus marinus,16,29,0,0,38,174,8,5,0,9,0,13
,Croceicoccus naphthovorans,9,16,0,0,58,209,6,6,0,0,0,6
,Erythrobacter,5,10,10,4,6,22,8,8,7,5,5,5
,Erythrobacter flavus,18,20,6,5,74,197,15,9,0,7,0,8
,Erythrobacter gangjinensis,27,18,0,0,43,135,12,10,0,8,6,17
,Erythrobacter litoralis,32,61,7,16,91,246,19,20,0,28,0,26
,Erythrobacter seohaensis,13,18,0,5,34,146,5,6,0,29,5,15
,Porphyrobacter,0,0,0,0,0,1,1,2,0,0,0,0
,Porphyrobacter neustonensis,10,24,8,0,43,139,14,16,0,14,0,6
,Qipengyuania,0,0,0,0,0,0,0,0,0,0,0,0
,Qipengyuania sediminis,9,26,0,9,26,100,8,5,0,7,0,0
,Sphingomonadaceae,107,189,69,50,406,1068,133,95,36,62,40,82
,Blastomonas,0,0,0,0,0,0,0,0,0,0,0,0
,Blastomonas fulva,26,35,0,8,67,196,26,11,0,0,9,15
,Novosphingobium,28,36,25,33,56,210,33,22,15,27,25,23
,Novosphingobium aromaticivorans,12,30,0,0,27,160,21,13,0,5,0,0
,Novosphingobium ginsenosidimutans,12,27,7,0,28,181,18,10,0,8,0,17
,Novosphingobium pentaromativorans,6,15,0,0,8,31,5,0,0,7,0,5
,Novosphingobium resinovorum,31,45,0,9,54,154,29,15,5,5,13,17
,Novosphingobium tardaugens,17,21,0,0,44,152,13,15,0,51,0,32
,unclassified Novosphingobium,0,0,0,0,0,0,0,0,0,0,0,0
,Novosphingobium sp. P6W,12,43,0,7,61,196,12,9,0,7,9,25
,Novosphingobium sp. PP1Y,6,20,0,0,8,43,0,0,0,0,0,7
,Novosphingobium sp. THN1,13,26,0,0,55,148,31,10,0,0,0,0
,Sphingobium,74,90,34,49,143,371,66,70,15,54,31,50
,Sphingobium amiense,11,15,0,0,31,90,6,18,0,0,0,14
,Sphingobium baderi,13,20,0,0,22,106,6,8,0,6,0,18
,Sphingobium chlorophenolicum,13,11,0,7,28,105,0,0,0,8,5,0
,Sphingobium cloacae,12,19,0,6,25,75,9,6,0,5,0,9
,Sphingobium fuliginis,5,0,0,0,0,16,7,0,0,0,0,0
,Sphingobium herbicidovorans,7,11,0,5,29,69,7,0,0,17,0,16
,Sphingobium indicum,0,0,0,0,24,74,0,0,0,0,0,12
,Sphingobium japonicum,5,7,0,0,0,26,0,0,0,0,0,6
,Sphingobium yanoikuyae,48,79,22,15,60,283,51,31,5,26,15,21
,unclassified Sphingobium,0,0,0,0,0,0,0,0,0,0,0,0
,Sphingobium sp. 013,0,0,0,0,7,11,0,0,0,0,0,0
,Sphingobium sp. MI1205,0,19,0,0,40,127,7,0,0,5,5,9
,Sphingobium sp. SYK-6,17,33,0,5,37,104,10,8,0,5,5,5
,Sphingobium sp. TKS,11,24,0,0,79,197,6,6,0,5,0,18
,Sphingobium sp. YBL2,0,0,0,0,14,23,0,0,0,5,0,0
,Sphingomonas,111,142,86,82,169,596,116,89,39,77,84,206
,Sphingomonas hengshuiensis,17,32,0,19,37,157,18,15,0,0,0,6
,Sphingomonas indica,20,50,8,12,23,118,9,15,0,5,16,70
,Sphingomonas koreensis,18,31,0,0,37,101,26,17,0,0,0,0
,Sphingomonas melonis,0,9,0,0,0,0,0,0,0,0,0,0
,Sphingomonas panacis,15,29,0,6,54,192,16,5,0,29,7,12
,Sphingomonas paucimobilis,5,40,0,0,33,123,14,5,0,6,6,5
,Sphingomonas sanxanigenens,17,49,8,14,34,117,25,16,0,5,0,6
,Sphingomonas taxi,14,29,7,0,39,135,30,11,0,8,0,8
,Sphingomonas wittichii,0,9,0,0,20,59,0,0,0,0,0,0
,unclassified Sphingomonas,0,0,0,0,0,0,0,0,0,0,0,0
,Sphingomonas sp.,0,0,0,0,0,11,0,0,0,0,0,0
,Sphingomonas sp. AAP5,13,27,15,6,35,149,7,0,0,0,0,5
,Sphingomonas sp. Cra20,25,23,5,0,34,112,17,13,0,6,0,11
,Sphingomonas sp. IC081,15,28,7,5,61,220,22,12,0,6,0,12
,Sphingomonas sp. KC8,14,27,0,8,92,256,6,5,0,18,0,14
,Sphingomonas sp. LK11,6,23,0,0,28,116,11,9,0,21,0,19
,Sphingomonas sp. MM-1,13,33,0,5,31,131,18,6,0,5,0,0
,Sphingopyxis,45,48,48,35,65,187,58,51,14,42,28,30
,"environmental samples <a-proteobacteria,genus Sphingopyxis>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Sphingopyxis sp.,15,16,0,7,10,73,13,0,0,0,0,5
,Sphingopyxis alaskensis,23,25,0,0,34,97,9,0,0,0,0,5
,Sphingopyxis fribergensis,11,27,0,0,22,97,6,15,0,5,5,12
,Sphingopyxis granuli,13,42,0,5,25,106,16,15,0,5,6,6
,Sphingopyxis macrogoltabida,26,52,0,9,65,198,38,27,7,25,9,27
,Sphingopyxis terrae,6,24,0,0,17,103,41,29,0,8,5,12
,unclassified Sphingopyxis,0,0,0,0,0,0,0,0,0,0,0,0
,Sphingopyxis sp. 113P3,15,36,0,0,22,97,11,6,0,6,0,7
,Sphingopyxis sp. QXT-31,13,27,0,5,24,50,20,15,0,0,0,0
,Sphingorhabdus,0,0,0,0,0,0,0,0,0,0,0,0
,Sphingorhabdus flavimaris,12,33,0,6,101,396,20,14,9,20,30,79
,Sphingosinicella,0,0,0,0,0,4,1,0,0,0,0,0
,Sphingosinicella microcystinivorans,17,36,0,5,56,231,22,14,0,5,0,7
,Zymomonas,0,0,0,0,0,0,0,0,0,0,0,0
,Zymomonas mobilis,28,30,0,0,77,367,13,19,0,22,99,247
,unclassified Alphaproteobacteria,9,5,11,19,11,10,9,2,11,6,4,10
,Micavibrio,0,0,0,0,0,0,0,0,0,0,0,0
,Micavibrio aeruginosavorus,12,41,5,0,221,855,22,27,0,26,26,35
,Polymorphum,0,0,0,0,0,0,0,0,0,0,0,0
,Polymorphum gilvum,41,99,15,28,121,339,41,33,0,37,13,110
,SAR116 cluster,0,2,0,0,7,13,1,5,0,0,0,2
,Candidatus Puniceispirillum,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Puniceispirillum marinum,10,22,0,0,59,278,7,7,0,35,12,149
,"environmental samples <a-proteobacteria,clade SAR116 cluster>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured alpha proteobacterium EBAC2C11,0,0,0,0,0,22,0,0,0,0,0,0
,uncultured alpha proteobacterium MB11B03,0,0,0,0,0,13,0,0,0,0,0,0
,unclassified Alphaproteobacteria (miscellaneous),0,0,0,0,9,17,0,0,0,0,6,0
,alpha proteobacterium D323,0,0,0,0,0,36,0,0,0,0,0,0
,alpha proteobacterium PR-2,0,0,0,0,22,36,0,0,0,0,0,0
,alpha proteobacterium SAORIC-614,0,0,0,0,9,6,0,0,0,0,0,0
,Betaproteobacteria,244,515,83,156,471,1682,232,208,51,151,180,578
,Burkholderiales,313,721,153,198,561,1818,442,370,71,128,57,288
,Alcaligenaceae,46,62,24,33,60,200,55,38,15,27,15,30
,Achromobacter,46,83,22,37,89,404,177,61,8,27,11,34
,Achromobacter denitrificans,35,32,7,16,30,124,20,7,0,7,5,14
,Achromobacter insolitus,20,32,5,9,13,122,17,10,0,0,0,18
,Achromobacter ruhlandii,0,0,0,0,13,30,0,0,0,0,0,0
,Achromobacter spanius,56,82,8,14,58,256,37,26,6,20,15,33
,Achromobacter xylosoxidans,67,99,15,29,71,491,276,100,13,30,8,36
,Advenella,3,9,0,7,7,24,4,1,0,12,2,0
,Advenella kashmirensis,9,17,0,0,19,115,0,16,0,0,5,19
,Advenella mimigardefordensis,15,17,0,0,28,106,11,10,0,12,7,47
,Alcaligenes,24,27,7,6,23,114,18,12,10,14,15,53
,Alcaligenes aquatilis,0,5,0,0,6,61,0,5,0,0,0,0
,Alcaligenes faecalis,51,79,10,16,46,294,18,34,0,30,40,160
,unclassified Alcaligenes,0,0,0,0,0,0,0,0,0,0,0,0
,Alcaligenes sp. O-1,0,0,0,0,0,5,0,0,0,0,0,0
,Basilea,0,0,0,0,0,0,0,0,0,0,0,0
,Basilea psittacipulmonis,5,6,0,0,12,103,0,13,0,6,18,90
,Bordetella,84,148,46,67,140,326,70,67,17,61,25,55
,Bordetella avium,9,30,0,0,20,88,7,12,0,0,5,15
,Bordetella bronchialis,35,56,7,11,40,157,26,6,5,0,0,17
,Bordetella bronchiseptica,13,25,0,0,0,32,7,0,0,0,0,10
,Bordetella flabilis,27,38,6,11,14,72,16,5,0,5,0,5
,Bordetella genomosp. 13,23,44,0,8,15,73,16,25,0,5,0,9
,Bordetella genomosp. 6,0,5,0,0,0,7,0,0,0,0,0,0
,Bordetella genomosp. 8,29,41,0,12,8,79,12,6,0,0,0,8
,Bordetella genomosp. 9,25,33,5,14,22,82,12,10,0,0,0,5
,Bordetella hinzii,28,67,12,17,36,139,32,25,7,12,9,15
,Bordetella holmesii,19,41,0,0,29,120,25,16,0,0,6,27
,Bordetella parapertussis,0,0,0,0,0,9,0,0,0,0,0,0
,Bordetella pertussis,7,19,0,6,0,21,0,0,0,0,0,0
,Bordetella petrii,10,30,0,0,11,67,11,6,0,0,0,6
,Bordetella pseudohinzii,16,45,0,9,26,93,8,0,0,0,0,14
,Bordetella trematum,20,34,0,0,16,65,14,6,0,0,5,12
,Castellaniella,0,0,0,0,0,0,0,0,0,0,0,0
,Castellaniella defragrans,24,54,7,15,44,122,19,22,0,0,6,5
,Kerstersia,0,0,0,0,0,0,0,0,0,0,0,0
,Kerstersia gyiorum,20,23,8,8,25,71,7,11,5,5,0,8
,Oligella,0,0,0,0,0,0,0,0,0,0,0,0
,Oligella urethralis,0,7,0,0,18,73,25,5,0,5,23,114
,Paenalcaligenes,0,0,0,0,0,0,0,0,0,0,0,0
,Paenalcaligenes hominis,0,6,0,0,15,63,5,0,0,0,0,32
,Pusillimonas,0,1,0,0,0,0,0,0,0,0,0,0
,unclassified Pusillimonas,0,0,0,0,0,0,0,0,0,0,0,0
,Pusillimonas sp. T7-7,18,19,0,6,32,87,14,5,0,0,0,12
,Taylorella,0,0,0,0,0,3,6,6,0,0,0,3
,Taylorella asinigenitalis,0,9,0,0,18,93,0,0,0,21,9,54
,Taylorella equigenitalis,0,5,0,0,39,146,0,0,0,46,32,132
,Burkholderiaceae,109,284,65,52,151,550,158,167,34,51,23,100
,Burkholderia,514,1324,294,262,390,1427,490,483,137,315,86,301
,Burkholderia cepacia complex,120,232,89,83,122,350,115,165,50,105,48,135
,[Pseudomonas] mesoacidophila,0,5,0,0,0,20,6,5,0,0,0,0
,Burkholderia ambifaria,0,16,0,0,6,41,11,0,0,0,0,0
,Burkholderia cenocepacia,28,56,6,8,53,153,40,21,0,25,7,27
,Burkholderia cepacia,14,38,10,10,21,52,7,20,5,5,0,7
,Burkholderia contaminans,7,19,0,5,0,45,15,0,0,0,0,0
,Burkholderia diffusa,0,8,0,0,0,30,0,0,0,11,0,7
,Burkholderia lata,15,36,5,0,6,70,8,5,0,8,0,20
,Burkholderia latens,0,0,0,0,0,5,0,0,0,0,0,0
,Burkholderia metallica,5,0,0,0,0,17,0,6,0,0,0,0
,Burkholderia multivorans,26,42,12,12,9,72,25,21,5,5,0,13
,Burkholderia pseudomultivorans,0,0,0,0,0,29,0,0,0,0,0,0
,Burkholderia pyrrocinia,0,9,0,0,0,47,5,0,0,5,0,6
,Burkholderia seminalis,0,5,0,0,7,13,0,0,0,0,0,0
,Burkholderia stabilis,7,39,5,0,5,39,6,0,0,7,0,5
,Burkholderia stagnalis,9,11,0,0,8,27,0,14,0,10,0,9
,Burkholderia territorii,6,7,0,0,0,11,0,0,0,0,0,0
,Burkholderia ubonensis,12,25,0,0,14,44,9,11,0,47,0,6
,Burkholderia vietnamiensis,8,28,0,0,5,29,5,0,0,0,0,6
,Burkholderia gladioli,53,62,7,16,29,108,28,14,6,5,5,16
,Burkholderia glumae,11,28,5,0,11,32,10,0,0,0,0,5
,Burkholderia insecticola,17,29,5,7,18,108,12,6,0,0,0,0
,Burkholderia plantarii,23,46,0,9,8,66,15,0,0,8,0,11
,"environmental samples <b-proteobacteria,genus Burkholderia>",0,0,0,0,0,0,0,0,0,0,0,0
,uncultured Burkholderia sp.,0,0,0,0,0,10,0,0,0,0,0,0
,pseudomallei group,3,13,1,12,14,22,10,6,2,8,2,6
,Burkholderia mallei,0,0,0,0,0,13,0,0,0,0,0,0
,Burkholderia oklahomensis,9,9,0,0,0,27,0,0,0,0,0,0
,Burkholderia pseudomallei,54,118,26,31,63,302,76,52,14,38,9,34
,Burkholderia sp. BDU6,6,8,0,0,0,11,5,0,0,0,0,5
,Burkholderia sp. BDU8,13,14,0,0,12,29,5,8,0,0,0,0
,Burkholderia thailandensis,21,42,10,0,6,79,13,12,0,0,0,7
,unclassified Burkholderia,0,0,0,0,0,0,0,0,0,0,0,0
,Burkholderia sp. AD24,17,57,9,0,27,73,22,8,0,11,0,13
,Burkholderia sp. CCGE1001,5,21,0,0,7,32,0,0,0,0,0,0
,Burkholderia sp. CCGE1003,11,25,0,0,17,88,14,5,0,0,0,0
,Burkholderia sp. KBS0801,0,0,0,0,0,9,0,0,0,0,0,0
,Burkholderia sp. mpa8.6,0,0,0,0,0,7,0,0,0,0,0,0
,Burkholderia sp. RPE67,0,8,0,0,12,41,5,0,0,0,0,0
,Burkholderia sp. YI23,0,10,0,0,0,20,5,6,0,0,0,5
,Cupriavidus,78,112,48,56,68,198,71,47,21,25,14,38
,Cupriavidus basilensis,32,45,0,8,43,105,23,17,0,7,5,12
,Cupriavidus metallidurans,28,67,9,13,24,161,52,23,15,17,0,17
,Cupriavidus necator,60,101,30,25,35,190,48,28,10,18,5,30
,Cupriavidus oxalaticus,20,29,5,10,15,78,9,21,0,8,0,12
,Cupriavidus pauculus,21,27,5,5,8,52,22,5,0,5,0,11
,Cupriavidus pinatubonensis,10,47,0,0,12,97,12,24,8,0,6,11
,Cupriavidus taiwanensis,74,127,18,25,83,286,47,27,5,25,10,44
,unclassified Cupriavidus,0,0,0,0,0,0,0,0,0,0,0,0
,Cupriavidus sp. USMAA1020,0,0,0,0,0,14,0,0,0,0,0,0
,Cupriavidus sp. USMAA2-4,0,10,0,0,0,16,7,0,0,0,0,0
,Lautropia,0,0,0,0,0,0,0,0,0,0,0,0
,Lautropia mirabilis,31,48,9,18,12,59,147,156,5,13,0,7
,Mycetohabitans,0,0,0,0,0,0,0,0,0,0,0,0
,Paraburkholderia rhizoxinica,14,25,5,0,5,64,0,0,0,0,0,5
,Pandoraea,31,40,36,35,43,94,45,41,11,32,16,35
,Pandoraea apista,13,16,0,0,0,67,12,5,0,0,0,12
,Pandoraea faecigallinarum,14,16,7,0,11,79,0,0,0,0,17,81
,Pandoraea norimbergensis,6,25,0,0,33,76,7,0,0,0,0,11
,Pandoraea oxalativorans,5,14,0,6,6,68,7,0,0,15,0,16
,Pandoraea pnomenusa,21,34,0,6,14,105,19,9,0,10,0,15
,Pandoraea pulmonicola,12,27,5,5,10,48,11,0,0,0,0,11
,Pandoraea sputorum,12,10,0,6,18,68,0,0,0,0,0,7
,Pandoraea thiooxydans,22,40,5,5,17,123,15,14,0,5,0,19
,Pandoraea vervacti,13,17,0,0,10,48,8,6,0,7,0,0
,Paraburkholderia,0,0,0,0,0,0,0,0,0,0,0,0
,Paraburkholderia caledonica,14,31,7,0,7,49,11,6,0,6,0,8
,Paraburkholderia caribensis,27,54,13,9,17,101,20,18,0,0,5,11
,Paraburkholderia fungorum,27,84,25,11,22,230,131,46,7,10,0,17
,Paraburkholderia graminis,17,28,0,0,11,73,12,12,0,0,0,5
,Paraburkholderia hospita,20,42,6,0,13,81,25,6,0,5,0,10
,Paraburkholderia megapolitana,27,57,12,5,27,57,25,11,0,0,11,61
,Paraburkholderia phenoliruptrix,0,12,0,0,5,19,0,0,0,0,0,0
,Paraburkholderia phymatum,20,47,0,6,31,75,18,8,0,11,0,16
,Paraburkholderia phytofirmans,23,49,5,0,22,73,15,8,8,0,0,8
,Paraburkholderia sprentiae,13,38,9,5,14,83,22,16,0,0,0,8
,Paraburkholderia terrae,7,18,0,0,5,20,6,0,0,0,0,0
,Paraburkholderia terricola,8,45,14,9,25,109,13,5,0,5,0,8
,Paraburkholderia xenovorans,24,79,12,13,10,75,16,6,0,8,0,8
,unclassified Paraburkholderia,0,0,0,0,0,0,0,0,0,0,0,0
,Paraburkholderia sp. CCGE1002,9,40,6,6,5,64,14,11,0,0,0,6
,Paucimonas,0,0,0,0,0,0,0,0,0,0,0,0
,Paucimonas lemoignei,7,24,0,0,14,110,13,21,0,0,5,38
,Polynucleobacter,11,1,4,5,5,16,1,6,3,6,8,21
,Polynucleobacter acidiphobus,8,26,0,0,6,47,6,5,0,0,24,75
,Polynucleobacter asymbioticus,12,21,0,0,23,119,11,38,0,8,63,230
,Polynucleobacter cosmopolitanus,0,0,0,0,0,0,0,0,0,0,0,11
,Polynucleobacter difficilis,0,15,0,0,23,70,11,0,0,8,30,105
,Polynucleobacter necessarius,46,95,19,18,165,751,50,107,10,141,371,1122
,Ralstonia,89,178,76,32,78,439,368,452,23,82,12,136
,Ralstonia insidiosa,19,42,5,0,30,134,44,48,0,8,0,12
,Ralstonia mannitolilytica,10,30,8,6,6,41,53,30,0,0,0,5
,Ralstonia pickettii,70,158,41,31,74,957,1079,1501,11,202,11,454
,Ralstonia solanacearum,131,232,148,60,139,527,199,176,43,84,10,102
,Ralstonia syzygii,0,7,0,0,7,25,0,0,0,0,0,0
,unclassified Ralstonia,0,0,0,0,0,0,0,0,0,0,0,0
,Ralstonia sp.,0,0,0,0,0,0,0,0,0,0,18,34
,Comamonadaceae,92,176,80,67,119,445,149,112,62,53,31,61
,Acidovorax,40,65,26,27,26,131,60,53,14,17,14,22
,Acidovorax avenae,48,86,6,18,26,169,31,29,11,29,8,21
,Acidovorax carolinensis,31,61,10,13,51,166,31,49,8,22,11,33
,Acidovorax cattleyae,8,11,0,0,6,43,0,0,0,0,0,0
,Acidovorax citrulli,10,13,0,0,6,16,6,0,0,0,0,0
,Acidovorax ebreus,0,5,0,0,0,8,0,0,0,0,0,0
,Acidovorax sp. JS42,10,8,0,0,0,12,7,0,0,0,0,0
,Acidovorax sp. KKS102,32,67,58,7,35,228,73,42,107,18,0,25
,Alicycliphilus,0,0,0,0,0,0,0,0,0,0,0,0
,Alicycliphilus denitrificans,23,40,12,14,15,85,36,28,0,6,0,12
,Candidatus Symbiobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Candidatus Symbiobacter mobilis,21,23,6,10,30,81,16,17,0,11,7,15
,Comamonas,26,41,19,28,24,77,40,30,17,23,13,25
,Comamonas aquatica,12,22,36,0,17,136,26,14,0,0,0,5
,Comamonas kerstersii,12,11,0,0,5,71,5,0,0,9,0,9
,Comamonas serinivorans,23,34,5,0,21,54,12,5,0,0,0,8
,Comamonas terrigena,27,17,7,11,40,84,10,5,0,15,0,0
,Comamonas testosteroni,27,32,11,8,11,91,14,5,7,6,0,13
,Comamonas thiooxydans,0,6,0,0,0,21,0,0,0,0,0,0
,Curvibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Curvibacter putative symbiont of Hydra magnipapillata,14,33,5,0,23,91,13,20,6,5,13,39
,Delftia,34,52,16,15,18,104,55,26,13,5,7,17
,Delftia acidovorans,8,8,0,0,5,45,8,11,0,0,0,5
,Delftia tsuruhatensis,0,0,0,6,7,42,14,10,6,0,0,0
,unclassified Delftia,0,0,0,0,0,0,0,0,0,0,0,0
,Delftia sp. Cs1-4,0,0,0,0,0,19,0,0,0,0,0,0
,Diaphorobacter,0,0,0,0,0,0,0,0,0,0,0,0
,Diaphorobacter polyhydroxybutyrativorans,0,0,0,0,0,13,0,6,0,0,0,0
,Hydrogenophaga,0,1,2,6,0,3,2,0,0,1,4,0
,Hydrogenophaga pseudoflava,27,40,6,9,59,217,27,23,0,0,0,8
,unclassified Hydrogenophaga,0,0,0,0,0,0,0,0,0,0,0,0
,Hydrogenophaga sp. PBC,25,35,0,12,22,94,30,16,0,7,5,10
,Hylemonella,0,0,0,0,0,0,0,0,0,0,0,0
,Hylemonella gracilis,30,32,0,5,8,83,27,0,0,0,6,0
,Limnohabitans,0,0,0,0,0,7,0,0,0,0,0,0
,unclassified Limnohabitans,0,0,0,0,0,0,0,0,0,0,0,0
,Limnohabitans sp. 2KL-27,0,0,0,0,0,9,0,0,0,0,0,0
,Polaromonas,1,1,2,5,4,7,1,5,8,5,0,1
,Polaromonas naphthalenivorans,36,37,5,9,42,122,21,14,0,6,7,24
,unclassified Polaromonas,0,0,0,0,0,0,0,0,0,0,0,0
,Polaromonas sp. JS666,43,70,10,14,38,170,34,12,0,6,8,14
,Ramlibacter,0,0,0,0,0,0,0,0,0,0,0,0
,Ramlibacter tataouinensis,68,131,20,26,32,169,56,38,14,15,0,20
,Rhodoferax,4,2,10,11,1,5,7,1,5,5,2,1
,Rhodoferax antarcticus,23,34,0,0,31,158,6,13,0,7,0,16
,Rhodoferax ferrireducens,34,51,5,13,49,194,22,20,0,11,22,68
,Rhodoferax saidenbachensis,27,41,5,5,45,136,11,13,8,18,6,16
,Serpentinomonas,0,0,0,0,0,0,0,0,0,0,0,0
,Serpentinomonas mccroryi,9,22,0,8,44,123,15,6,0,5,0,7
,Serpentinomonas raichei,17,26,0,0,32,115,6,0,0,0,0,7
,unclassified Comamonadaceae,8,10,6,5,13,12,5,8,0,8,5,6
